Year,Session,Docket,Negative,Neutral,Positive,Compound
1960,525,1,0.0,1.0,0.0,0.0
1963,531,1,0.0,0.9333333333333333,0.0,0.0
1988,558,08-724,0.05337209302325581,0.7926279069767441,0.06088372093023255,0.012513953488372084
1991,502,1,0.01008695652173913,0.9670652173913044,0.02284782608695652,0.02835217391304348
1991,502,104,0.0,0.9258888888888889,0.07411111111111111,0.027777777777777776
1991,502,105,0.0,1.0,0.0,0.0
1991,502,129,0.001564885496183206,0.994969465648855,0.0034656488549618322,0.006349618320610687
1991,502,1301,0.0,1.0,0.0,0.0
1991,502,151,0.0,1.0,0.0,0.0
1991,502,164,0.002777777777777778,0.9972222222222222,0.0,-0.0014985185185185186
1991,502,183,0.0,0.9985047619047619,0.0014952380952380953,0.0007352380952380953
1991,502,197,0.0005447154471544716,0.9864959349593496,0.012959349593495933,0.01878780487804878
1991,502,21,0.0,0.9992068965517241,0.0007931034482758621,0.0028735632183908046
1991,502,215,0.0,0.9913030303030304,0.008696969696969696,0.006089393939393939
1991,502,32,0.0,0.9954653465346535,0.004534653465346534,0.004743564356435644
1991,502,46,0.008333333333333333,0.9899784946236558,0.0016881720430107527,0.0007731182795698919
1991,502,62,0.0,1.0,0.0,0.0
1991,502,81,0.0,1.0,0.0,0.0
1991,502,93,0.0,1.0,0.0,0.0
1992,502,244,0.0,1.0,0.0,0.0
1992,502,251,0.00048514851485148515,0.9984702970297028,0.0010445544554455446,0.0001777227722772276
1992,502,279,0.0,0.9965757575757576,0.0034242424242424243,0.004938636363636363
1992,502,301,0.008564102564102564,0.9803717948717948,0.011064102564102566,0.0053358974358974345
1992,502,314,0.0008846153846153846,0.9962548076923077,0.002860576923076923,0.0027495192307692307
1992,502,346,0.0,0.9979716312056738,0.002028368794326241,0.0029893617021276597
1992,502,367,0.0012876254180602007,0.9849866220735785,0.013729096989966553,0.014074581939799335
1992,502,410,0.0017309941520467838,0.9977368421052631,0.0005321637426900584,-0.004185380116959065
1992,502,437,0.0017095588235294117,0.9970698529411766,0.0012205882352941176,-0.000340808823529412
1992,502,478,0.00244,0.9929199999999999,0.00464,0.0009640000000000004
1992,502,491,0.0008644067796610169,0.9969618644067797,0.002173728813559322,0.0031999999999999997
1992,502,527,0.0,1.0,0.0,0.0
1992,503,1,0.0013982300884955753,0.9986017699115044,0.0,-0.002600884955752213
1992,503,115,0.003079646017699115,0.9969203539823009,0.0,-0.004370796460176991
1992,503,131,0.005722222222222222,0.9906805555555557,0.003597222222222222,-0.001677777777777778
1992,503,140,0.0005679999999999999,0.998592,0.000848,0.0018104
1992,503,159,0.01014074074074074,0.9898592592592592,0.0,-0.012067407407407409
1992,503,181,0.0,1.0,0.0,0.0
1992,503,193,0.0,0.9960451977401132,0.0039548022598870055,0.00801638418079096
1992,503,222,0.0020459770114942526,0.9979540229885058,0.0,-0.0011804597701149425
1992,503,249,0.0,0.9974363636363637,0.0025636363636363634,0.007663636363636364
1992,503,258,0.002869747899159664,0.9951008403361344,0.0020294117647058824,-0.002154621848739496
1992,503,291,0.0,0.9974261363636363,0.0025738636363636363,0.004076704545454546
1992,503,30,0.004888888888888889,0.9891746031746032,0.005936507936507938,-0.0006412698412698415
1992,503,318,0.005131147540983607,0.9948688524590164,0.0,-0.010244262295081968
1992,503,329,0.00256140350877193,0.9877280701754387,0.009710526315789473,0.012749999999999997
1992,503,347,0.0,0.9965250965250966,0.003474903474903475,0.005736293436293436
1992,503,378,0.005058823529411765,0.9949411764705883,0.0,-0.009219999999999999
1992,503,393,0.0,1.0,0.0,0.0
1992,503,407,0.0,0.9993113772455089,0.000688622754491018,0.00046227544910179644
1992,503,429,0.0,0.9964193548387097,0.0035806451612903226,0.003883870967741936
1992,503,442,0.0,0.999048484848485,0.0009515151515151516,0.0004678787878787879
1992,503,467,0.0036315789473684214,0.9946947368421053,0.0016736842105263157,-0.004308771929824561
1992,503,47,0.0,0.997081081081081,0.0029189189189189188,0.006900000000000001
1992,503,519,0.0025808823529411763,0.9974191176470588,0.0,-0.0029551470588235294
1992,503,540,0.0017908496732026145,0.9982091503267974,0.0,-0.0034424836601307184
1992,503,569,0.0,0.998043165467626,0.0019568345323741007,0.004830935251798561
1992,503,594,0.0,0.9960632911392406,0.003936708860759494,0.00789620253164557
1992,503,60,0.0,1.0,0.0,0.0
1992,503,607,0.0006950000000000001,0.996745,0.00256,-0.000836
1992,503,638,0.0,1.0,0.0,0.0
1992,503,79,0.0,1.0,0.0,0.0
1992,503,91,0.000375,0.9975163043478261,0.0021086956521739132,-0.0009059782608695653
1992,504,1,0.0,0.9969793103448277,0.0030206896551724137,0.009082758620689654
1992,504,127,0.002238317757009346,0.9977616822429908,0.0,-0.0033757009345794396
1992,504,158,0.0004011976047904192,0.9979341317365268,0.001664670658682635,0.0011952095808383232
1992,504,181,0.0,0.9955869565217391,0.0044130434782608694,0.00916304347826087
1992,504,191,0.002668941979522184,0.9946040955631397,0.0027269624573378836,0.000838907849829351
1992,504,229,0.0023224043715846998,0.997032786885246,0.0006448087431693988,-0.0023448087431693996
1992,504,25,0.0,1.0,0.0,0.0
1992,504,255,0.0019081967213114756,0.9919409836065572,0.006150819672131147,0.004898032786885246
1992,504,298,0.0015623100303951368,0.9844772036474163,0.013960486322188449,0.018972036474164136
1992,504,334,0.0008437500000000001,0.9974374999999999,0.0017187500000000002,0.0010275
1992,504,353,0.001280701754385965,0.9987192982456141,0.0,-0.0024649122807017545
1992,504,36,0.00337378640776699,0.9930097087378641,0.003616504854368932,0.0019131067961165049
1992,504,374,0.00042659279778393353,0.9993434903047093,0.0002299168975069252,-0.0002072022160664821
1992,504,428,0.0,0.9989889502762431,0.0010110497237569062,0.0032370165745856353
1992,504,451,0.0003252212389380531,0.9963561946902655,0.00331858407079646,0.00394424778761062
1992,504,505,0.001101190476190476,0.9928690476190476,0.006029761904761904,0.005110119047619048
1992,504,527,0.0028020833333333335,0.9934947916666665,0.003703125,0.0024223958333333333
1992,504,555,0.003136363636363637,0.9944857954545455,0.002377840909090909,0.0012468750000000006
1992,504,607,0.0,1.0,0.0,0.0
1992,504,621,0.0,0.9951822429906542,0.004817757009345794,0.005793925233644859
1992,504,648,0.0,0.9872931034482759,0.012706896551724137,0.007267241379310344
1992,504,655,0.0,0.998072,0.001928,0.003372
1992,504,689,0.00041314553990610324,0.999131455399061,0.00045539906103286387,-0.0017178403755868546
1992,504,71,0.0021506493506493504,0.9971324675324675,0.000716883116883117,-0.0023654545454545456
1992,504,719,0.008947598253275109,0.989593886462882,0.0014628820960698688,-0.008631441048034936
1992,504,753,0.0,1.0,0.0,0.0
1992,504,768,0.0,0.9983185483870968,0.001681451612903226,0.001825
1992,505,1,0.0,0.9948609467455622,0.002180473372781065,0.001247041420118343
1992,505,1003,0.000845360824742268,0.995852233676976,0.003302405498281787,0.002268213058419244
1992,505,1079,0.014807692307692308,0.9851923076923076,0.0,-0.013892307692307693
1992,505,1084,0.0,1.0,0.0,0.0
1992,505,123,0.0,0.9974871794871795,0.002512820512820513,0.005253846153846154
1992,505,1301,0.0,1.0,0.0,0.0
1992,505,144,0.00047563805104408347,0.997986078886311,0.0015382830626450117,0.0034385150812064964
1992,505,214,0.0,0.9982131147540984,0.0017868852459016393,0.003454918032786885
1992,505,247,0.0,0.9988725490196078,0.0011274509803921569,0.002799509803921569
1992,505,277,0.00030120481927710846,0.9956897590361447,0.004009036144578313,0.0056885542168674695
1992,505,317,0.0,0.9973440860215054,0.0026559139784946236,0.0034215053763440857
1992,505,333,0.006215017064846417,0.9937849829351535,0.0,-0.008484300341296928
1992,505,377,0.0026257668711656443,0.994997955010225,0.002376278118609407,-0.0020997955010224945
1992,505,42,0.000247787610619469,0.9969646017699113,0.0027876106194690267,0.0007398230088495576
1992,505,437,0.0013955555555555555,0.9981466666666666,0.00045777777777777776,-0.0016262222222222223
1992,505,469,0.0,1.0,0.0,0.0
1992,505,504,0.000494061757719715,0.9988693586698336,0.0006365795724465558,0.0011724465558194772
1992,505,557,0.0,0.9966363636363637,0.0033636363636363634,0.006144055944055944
1992,505,577,0.0,0.9988465011286681,0.0011534988713318285,0.003466591422121896
1992,505,647,0.005413333333333333,0.98496,0.009626666666666667,0.0069746666666666655
1992,505,672,0.0025430267062314543,0.9921869436201781,0.005270029673590504,0.0012587537091988123
1992,505,71,0.0,0.9940555555555556,0.005944444444444443,0.004615972222222223
1992,505,717,0.0025328185328185324,0.9924517374517375,0.005015444015444015,-0.0008505791505791508
1992,505,763,0.0,0.9977966804979252,0.0022033195020746887,0.002185477178423236
1992,505,788,0.0023808049535603715,0.9927182662538698,0.004900928792569659,0.004814551083591331
1992,505,830,0.0,1.0,0.0,0.0
1992,505,833,0.000888183980967486,0.9966907216494846,0.002421094369547978,0.0034054718477398893
1992,505,88,0.0005577689243027889,0.9973505976095618,0.002091633466135458,0.0013374501992031874
1992,506,1,0.0,0.9809298245614034,0.001526315789473684,0.0043859649122807015
1992,506,103,0.0009792746113989638,0.9990207253886011,0.0,-0.002183937823834197
1992,506,125,0.0,0.9982131147540984,0.0017868852459016393,0.004913114754098361
1992,506,1301,0.0245,0.9754999999999999,0.0,-0.05994000000000001
1992,506,20,0.002104,0.997896,0.0,-0.0028896
1992,506,40,0.005364485981308411,0.9912616822429906,0.0033738317757009344,0.002174766355140187
1992,506,56,0.0058106060606060595,0.994189393939394,0.0,-0.009060606060606062
1992,506,73,0.0,0.9909487179487179,0.00905128205128205,0.017371794871794872
1992,506,80,0.0,1.0,0.0,0.0
1992,506,9,0.0037283950617283948,0.9931728395061729,0.0030987654320987655,0.005693827160493827
1993,506,139,0.0,0.995644859813084,0.004355140186915888,0.006347663551401869
1993,506,153,0.002184466019417476,0.9978155339805825,0.0,-0.0047951456310679616
1993,506,168,0.004596273291925466,0.9920621118012423,0.003341614906832298,-0.0011540372670807452
1993,506,194,0.0008689320388349514,0.997,0.0021310679611650485,0.0013456310679611648
1993,506,224,0.0012711864406779662,0.9970847457627119,0.0016440677966101697,0.0025666666666666663
1993,506,255,0.0,0.9973777777777779,0.002622222222222222,0.009366666666666666
1993,506,263,0.0003297045101088647,0.996158631415241,0.0035116640746500776,0.0027410575427682738
1993,506,364,0.0007262569832402235,0.997536312849162,0.0017374301675977654,0.0031547486033519554
1993,506,390,0.0036227848101265817,0.9955569620253165,0.0008202531645569621,-0.006031645569620254
1993,506,447,0.0,0.9904999999999998,0.0095,0.011220454545454544
1993,506,461,0.005089715536105034,0.9889934354485778,0.0059168490153172874,0.002749234135667396
1993,506,523,0.0,1.0,0.0,0.0
1993,506,534,0.0020875,0.9969374999999999,0.000975,0.00274
1993,506,546,0.0,1.0,0.0,0.0
1993,507,1,0.0,0.9787234042553191,0.0,0.0
1993,507,111,0.0,0.9957206477732793,0.004279352226720648,0.004608502024291497
1993,507,1301,0.0,1.0,0.0,0.0
1993,507,146,0.0,1.0,0.0,0.0
1993,507,163,0.0,1.0,0.0,0.0
1993,507,170,0.0,1.0,0.0,0.0
1993,507,197,0.0008768115942028985,0.993123188405797,0.006,0.01001086956521739
1993,507,218,0.000944,0.9958720000000001,0.003184,0.0045872
1993,507,234,0.00570391061452514,0.9942960893854748,0.0,-0.006556983240223463
1993,507,25,0.00507,0.99493,0.0,-0.00592
